original_language,popularity,title,vote_average,tconst,primary_title,start_year,runtime_minutes,genres,movie,production_budget,worldwide_gross
en,2.883,Burning Palms,5.6,tt1283887,Burning Palms,2010,105.0,"Comedy,Thriller",Mars Attacks!,80000000,101371017.0
en,2.883,Meet Monica Velour,5.4,tt1291549,Meet Monica Velour,2010,96.0,"Comedy,Drama,Romance",The Wild,80000000,99010667.0
en,2.875,The Stranger in Us,5.6,tt1363091,The Stranger in Us,2010,107.0,Drama,Walking with Dinosaurs,80000000,123368842.0
en,2.857,King of the Avenue,4.5,tt0770778,King of the Avenue,2010,83.0,"Drama,Fantasy,Thriller",Daylight,80000000,158908290.0
en,2.8480000000000003,Freeway Killer,5.5,tt1410020,Freeway Killer,2010,85.0,"Crime,Drama,Thriller",The Last Witch Hunter,80000000,130818912.0
en,2.845,Dead West,3.0,tt1648062,Cowboys Vs. Vampires,2010,94.0,"Action,Comedy,Drama",Pompeii,80000000,108469033.0
en,2.845,Dead West,3.0,tt5220430,Dead West,2016,115.0,"Crime,Drama,Horror",Battlefield Earth: A Saga of the Year 3000,80000000,29725663.0
en,0.995,Dead West,3.3,tt1648062,Cowboys Vs. Vampires,2010,94.0,"Action,Comedy,Drama",Looney Tunes: Back in Action,80000000,54540662.0
en,0.995,Dead West,3.3,tt5220430,Dead West,2016,115.0,"Crime,Drama,Horror",Nine,80000000,53508858.0
en,0.6,Dead West,10.0,tt1648062,Cowboys Vs. Vampires,2010,94.0,"Action,Comedy,Drama",Timeline,80000000,26703184.0
en,0.6,Dead West,10.0,tt5220430,Dead West,2016,115.0,"Crime,Drama,Horror",Oceans,80000000,86787530.0
en,2.818,The Chosen One,4.5,tt0970926,The Chosen One,2010,101.0,"Comedy,Drama",Babe: Pig in the City,80000000,69131860.0
en,2.813,The Tillman Story,7.5,tt1568334,The Tillman Story,2010,94.0,"Biography,Documentary,Mystery",The Postman,80000000,20841123.0
en,2.809,President's Day,3.6,tt1581336,President's Day,2010,80.0,"Comedy,Crime,Horror",Red Planet,80000000,33463969.0
en,2.774,Horse Crazy 2: The Legend of Grizzly Mountain,4.4,tt1313121,Horse Crazy 2: The Legend of Grizzly Mountain,2010,90.0,Family,Arthur et les Minimoys,80000000,113325743.0
nl,2.7510000000000003,Bo,5.1,tt1511329,Bo,2010,100.0,Drama,The Invasion,80000000,40147042.0
en,2.734,The Violent Kind,5.2,tt1472195,The Violent Kind,2010,85.0,Horror,Jack and Jill,79000000,150519217.0
fr,2.676,Lily Sometimes,5.9,tt1576450,Lily Sometimes,2010,103.0,Drama,Hidalgo,78000000,108086731.0
en,2.664,Salvage,5.3,tt5611140,Salvage,2015,92.0,"Drama,Horror",Ast̩rix et Ob̩lix: Au service de Sa Majest̩,77600000,60680125.0
en,2.664,Salvage,5.3,tt9741984,Salvage,2019,57.0,Documentary,The Little Prince,77500000,102028919.0
fr,2.657,The Killing Strain,3.2,tt1669819,The Killing Strain,2010,105.0,"Horror,Thriller",Renegades,77500000,1521672.0
en,2.634,In Gold We Trust,5.2,tt1534084,In Gold We Trust,2010,100.0,Adventure,Children of Men,76000000,69845011.0
en,2.629,Smoke Screen,5.1,tt1418927,Smoke Screen,2012,90.0,Drama,The Adventures of Rocky & Bullwinkle,76000000,35129610.0
en,2.587,Circle,3.8,tt5144638,Circle,2016,70.0,"Documentary,Family",Dreamgirls,75000000,155708695.0
en,7.838999999999999,Circle,6.0,tt1129412,Circle,2010,88.0,"Horror,Thriller",Inspector Gadget,75000000,97387965.0
en,2.576,Tales of an Ancient Empire,3.3,tt1136688,Abelar: Tales of an Ancient Empire,2010,86.0,"Action,Adventure",Charlie Wilson's War,75000000,119512771.0
fr,2.565,Lourdes,6.5,tt8941056,Lourdes,2019,95.0,Documentary,Be Cool,75000000,94944017.0
en,2.5580000000000003,Miral,6.1,tt1366409,Miral,2010,112.0,"Drama,History",Munich,75000000,131492772.0
en,2.556,Defcon 2012,2.0,tt1349646,Defcon 2012,2010,92.0,Sci-Fi,Killers,75000000,95572749.0
en,2.544,Who Is Harry Nilsson (And Why Is Everybody Talkin' About Him?),7.6,tt0756727,Who Is Harry Nilsson (And Why Is Everybody Talkin' About Him?),2010,116.0,"Biography,Documentary,Music",The Man From U.N.C.L.E.,75000000,104949584.0
en,2.531,Bill Cunningham New York,7.9,tt1621444,Bill Cunningham: New York,2010,84.0,"Biography,Documentary,History",Tears of the Sun,75000000,85632458.0
en,2.529,The Last Harbor,4.3,tt1332106,The Last Harbor,2010,91.0,"Mystery,Thriller",Lady in the Water,75000000,72785169.0
en,2.498,Fake,5.0,tt1507566,Fake,2011,107.0,"Crime,Mystery,Thriller",Bandits,75000000,71523271.0
