original_language,popularity,title,vote_average,tconst,primary_title,start_year,runtime_minutes,genres,movie,production_budget,worldwide_gross
en,0.6,Wes and Ella,3.0,tt1793296,Wes and Ella,2010,85.0,Drama,Shaft,30000000,600000.0
en,0.6,Revolution of Everyday Life,3.0,tt1791587,Revolution of Everyday Life,2010,76.0,Drama,Machine Gun Preacher,30000000,3721988.0
es,0.6,Trash,3.0,tt1921149,Trash,2014,114.0,"Adventure,Crime,Drama",Le Petit Nicolas,30000000,52339566.0
es,0.6,Trash,3.0,tt1988822,Trash,2010,75.0,Comedy,Xinhai geming,30000000,8593154.0
es,0.6,Trash,3.0,tt4713454,Trash,2015,88.0,Drama,Genghis Khan: To the Ends of the Earth and Sea,30000000,4874498.0
pt,7.1789999999999985,Trash,7.1,tt1921149,Trash,2014,114.0,"Adventure,Crime,Drama",Konferenz der Tiere,30000000,53048539.0
pt,7.1789999999999985,Trash,7.1,tt1988822,Trash,2010,75.0,Comedy,Grace of Monaco,30000000,25199891.0
pt,7.1789999999999985,Trash,7.1,tt4713454,Trash,2015,88.0,Drama,Savva. Serdtse voyna,30000000,5015080.0
de,0.6,Below the Beltway,3.0,tt1453428,Below the Beltway,2010,96.0,Comedy,Goodbye Bafana,30000000,2717302.0
en,0.6,Your Highness,3.0,tt1240982,Your Highness,2011,102.0,"Adventure,Comedy,Fantasy",Space Pirate Captain Harlock,30000000,310985.0
en,0.6,Angels Love Donuts,3.0,tt1344699,Angels Love Donuts,2010,83.0,Comedy,Collide,29200000,5466698.0
en,0.6,Stasis,2.8,tt5702566,Stasis,2017,90.0,"Adventure,Sci-Fi",Walk the Line,29000000,187707495.0
en,0.6,Sure Looks Good,2.6,tt1434941,Sure Looks Good,2010,87.0,Drama,Night School,29000000,103008792.0
en,0.6,Emulation,2.5,tt1729549,Emulation,2010,84.0,"Action,Adventure,Thriller",The Boss,29000000,78652207.0
en,0.6,Hell Is Full,2.5,tt1699223,Hell Is Full,2010,97.0,Horror,12 Monkeys,29000000,168841459.0
en,0.6,Holyman Undercover,2.3,tt1144546,Holyman Undercover,2010,90.0,Comedy,Once Upon a Time in Mexico,29000000,97413527.0
en,0.6,Skills,2.1,tt1836137,Skills,2010,86.0,Action,Keeping the Faith,29000000,45336404.0
en,0.6,Sawblade,2.0,tt1485779,Sawblade,2010,91.0,Horror,Logan Lucky,29000000,44264271.0
en,0.6,Stricken,2.0,tt1375754,Stricken,2010,90.0,Thriller,The Borrowers,29000000,54045832.0
en,0.6,Stricken,2.0,tt3095126,Stricken,2013,80.0,Drama,Frost/Nixon,29000000,28452945.0
en,0.6,Thieves,2.0,tt5893586,Thieves,2016,59.0,"Documentary,Drama",Serving Sara,29000000,20146150.0
en,0.6,The Devil's Gravestone,2.0,tt1304615,The Devil's Gravestone,2010,92.0,Horror,Cry Freedom,29000000,25899797.0
en,0.6,Conned,2.0,tt1668074,Conned,2010,101.0,"Action,Comedy,Thriller",Mumford,28700000,4559569.0
en,0.6,Justify,2.0,tt1384591,Justify,2010,72.0,Thriller,The Jacket,28500000,15452978.0
en,0.6,Denizen,2.0,tt1194424,Denizen,2010,83.0,"Action,Horror,Sci-Fi",Girls Trip,28000000,140886353.0
en,0.6,Followed Home,1.8,tt1454099,Followed Home,2010,74.0,Horror,The Rugrats Movie,28000000,140894685.0
en,0.6,Devolved,1.5,tt1297925,Devolved,2010,86.0,Comedy,Die Hard,28000000,139109346.0
en,0.6,Strip Club Slasher,1.0,tt1510986,Strip Club Slasher,2010,99.0,"Comedy,Crime,Horror",Along Came a Spider,28000000,105159085.0
en,0.6,Snatched!,1.0,tt1210047,Snatched!,2010,107.0,"Comedy,Crime,Mystery",Safe Haven,28000000,94050951.0
en,0.6,War Machine,1.0,tt1426389,War Machine,2010,87.0,"Action,Adventure",The Big Short,28000000,133162752.0
en,0.6,War Machine,1.0,tt4758646,War Machine,2017,122.0,"Comedy,Drama,War",Role Models,28000000,94500826.0
en,7.782,War Machine,5.6,tt1426389,War Machine,2010,87.0,"Action,Adventure","Alexander and the Terrible, Horrible, No Good, Very Bad Day",28000000,101379287.0
en,7.782,War Machine,5.6,tt4758646,War Machine,2017,122.0,"Comedy,Drama,War",Miracle,28000000,64474705.0
en,0.6,Louis Sullivan: the Struggle for American Architecture,1.0,tt1754151,Louis Sullivan: the Struggle for American Architecture,2010,97.0,Documentary,Last Vegas,28000000,112914167.0
en,0.6,To Catch a Dollar: Muhammad Yunus Banks on America,1.0,tt1541943,To Catch a Dollar: Muhammad Yunus Banks on America,2010,74.0,"Biography,Documentary,Drama",The Wedding Planner,28000000,94728529.0
en,0.6,Attack of the Vegan Zombies!,1.0,tt1380852,Attack of the Vegan Zombies!,2010,77.0,"Comedy,Horror",Dawn of the Dead,28000000,103452875.0
en,0.6,The 12 Biggest Lies,1.0,tt1675733,The 12 Biggest Lies,2010,106.0,Documentary,Tag,28000000,77026186.0
en,0.6,Summertime Christmas,1.0,tt1626240,Summertime Christmas,2010,111.0,"Comedy,Family",The Royal Tenenbaums,28000000,71430876.0
en,0.6,"Kisses, Chloe",1.0,tt1691864,"Kisses, Chloe",2010,94.0,Drama,Serendipity,28000000,77477297.0
sr,11.387,A Serbian Film,5.5,tt1273235,A Serbian Film,2010,104.0,"Horror,Mystery,Thriller",Ride Along,25000000,153733800.0
en,11.36,Super,6.6,tt7456902,Super,2016,92.0,Adventure,"Legally Blonde 2: Red, White & Blonde",25000000,125339088.0
en,11.324000000000002,The Muppets,6.6,tt1204342,The Muppets,2011,103.0,"Adventure,Comedy,Family",Scooby-Doo 2: Monsters Unleashed,25000000,181185387.0
en,11.321,Take Me Home Tonight,6.1,tt0810922,Take Me Home Tonight,2011,97.0,"Comedy,Drama,Romance",Anchorman: The Legend of Ron Burgundy,25000000,89476265.0
en,11.315,30 Minutes or Less,5.6,tt1622547,30 Minutes or Less,2011,83.0,"Action,Comedy,Crime",Freddy vs. Jason,25000000,114576403.0
en,11.277,Jack and Jill,4.1,tt0810913,Jack and Jill,2011,91.0,Comedy,Bridge to Terabithia,25000000,137984788.0
en,11.236,Take Shelter,7.2,tt1675192,Take Shelter,2011,121.0,"Drama,Horror,Thriller",Jimmy Neutron: Boy Genius,25000000,102992536.0
en,11.147,Winnie the Pooh,6.9,tt1449283,Winnie the Pooh,2011,63.0,"Adventure,Animation,Comedy",Cloverfield,25000000,171302226.0
en,11.138,New Year's Eve,5.8,tt1598822,New Year's Eve,2011,113.0,"Comedy,Romance",Dear John,25000000,142033509.0
en,11.017,Monte Carlo,6.2,tt1067774,Monte Carlo,2011,109.0,"Adventure,Comedy,Family",The Untouchables,25000000,76270454.0
en,10.831,Tinker Tailor Soldier Spy,6.7,tt1340800,Tinker Tailor Soldier Spy,2011,122.0,"Drama,Mystery,Thriller",No Country for Old Men,25000000,164035753.0
en,10.737,The Tunnel,5.5,tt1735485,The Tunnel,2011,90.0,"Horror,Mystery,Thriller",Chocolat,25000000,152500343.0
en,10.73,The Darkest Hour,4.9,tt1093357,The Darkest Hour,2011,89.0,"Action,Adventure,Horror",Contraband,25000000,98406855.0
en,10.679,Dolphin Tale,6.8,tt1564349,Dolphin Tale,2011,113.0,"Drama,Family",The Lucky One,25000000,96633833.0
en,10.584,Colombiana,6.5,tt1657507,Colombiana,2011,108.0,"Action,Drama,Thriller",Tombstone,25000000,56505065.0
en,10.579,Assassins,6.2,tt2385003,Assassins,2014,84.0,"Action,Drama,Thriller",Romeo Must Die,25000000,91036760.0
en,0.6,Assassins,1.0,tt2385003,Assassins,2014,84.0,"Action,Drama,Thriller",The Omen,25000000,119295584.0
en,10.542,Legend,6.2,tt3381068,Gnome Alone,2015,94.0,Horror,Madea's Big Happy Family,25000000,54160818.0
en,10.542,Legend,6.2,tt3381068,Gnome Alone,2015,94.0,Horror,Cobra,25000000,49042224.0
en,10.195,Legend,6.8,tt3381068,Gnome Alone,2015,94.0,Horror,The Giver,25000000,66540205.0
en,10.542,Legend,6.2,tt3381068,Gnome Alone,2015,94.0,Horror,The Beverly Hillbillies,25000000,55598481.0
en,10.195,Legend,6.8,tt3381068,Gnome Alone,2015,94.0,Horror,Rugrats Go Wild,25000000,55443032.0
en,10.444,The Descendants,6.8,tt1033575,The Descendants,2011,115.0,"Comedy,Drama",Million Dollar Arm,25000000,39217912.0
en,10.444,The Descendants,6.8,tt5838908,The Descendants,2015,80.0,Drama,Beauty Shop,25000000,38351350.0
en,10.390999999999998,What's Your Number?,6.4,tt0770703,What's Your Number?,2011,106.0,"Comedy,Romance",What a Girl Wants,25000000,35990505.0
en,10.357,Absentia,5.9,tt1610996,Absentia,2011,87.0,"Drama,Horror,Mystery",Peppermint,25000000,51800758.0
en,10.357,Absentia,5.9,tt7501544,Absentia,2011,60.0,Sci-Fi,Good Luck Chuck,25000000,59183821.0
en,10.352,A Dangerous Method,6.3,tt1571222,A Dangerous Method,2011,99.0,"Biography,Drama,Romance",Cradle 2 the Grave,25000000,56434942.0
en,10.322,Beginners,6.9,tt1532503,Beginners,2010,105.0,"Comedy,Drama,Romance",She's the Man,25000000,55279608.0
en,10.308,One Day,7.2,tt1563738,One Day,2011,107.0,"Drama,Romance",The Gambler,25000000,38718031.0
en,10.308,One Day,7.2,tt6214734,One Day,2017,118.0,"Drama,Fantasy",Motherâs Day,25000000,52367022.0
en,10.269,Footloose,6.6,tt1068242,Footloose,2011,113.0,"Comedy,Drama,Music",Bride of Chucky,25000000,50692188.0
en,10.202,Ironclad,6.1,tt1233301,Ironclad,2011,121.0,"Action,Adventure,Drama",Fist Fight,25000000,40286416.0
en,10.181,Carnage,7.1,tt1692486,Carnage,2011,80.0,"Comedy,Drama",August Rush,25000000,65882103.0
en,10.177,The Guard,6.9,tt1540133,The Guard,2011,96.0,"Comedy,Crime,Thriller",Anacondas: The Hunt for the Blood Orchid,25000000,70326393.0
en,10.155,The Artist,7.4,tt1655442,The Artist,2011,100.0,"Comedy,Drama,Romance",The Sitter,25000000,38749404.0
en,10.155,The Artist,7.4,tt1825978,The Artist,2011,100.0,Thriller,Elizabeth,25000000,82150642.0
en,10.136,Beastly,6.1,tt1152398,Beastly,2011,86.0,"Drama,Fantasy,Romance",Spice World,25000000,56042592.0
es,10.128,Miss Bala,6.3,tt1911600,Miss Bala,2011,113.0,"Crime,Drama,Thriller",Draft Day,25000000,29847480.0
es,10.128,Miss Bala,6.3,tt5941692,Miss Bala,2019,104.0,"Action,Crime,Drama",The Shawshank Redemption,25000000,28307092.0
en,10.127,The Ides of March,6.7,tt1124035,The Ides of March,2011,101.0,"Drama,Thriller",Rings,25000000,82917283.0
en,10.091,Like Crazy,6.5,tt1758692,Like Crazy,2011,86.0,"Drama,Romance",Dance Flick,25000000,32224624.0
en,10.03,Another Earth,6.7,tt1549572,Another Earth,2011,92.0,"Drama,Romance,Sci-Fi",Kingpin,25000000,32223424.0
en,10.015,Haywire,5.6,tt1506999,Haywire,2011,93.0,"Action,Drama,Thriller",Ice Princess,25000000,25732334.0
en,9.984,Hall Pass,5.5,tt0480687,Hall Pass,2011,105.0,"Comedy,Romance",Don't Be Afraid of the Dark,25000000,39126427.0
en,9.931,We Bought a Zoo,6.7,tt1389137,We Bought a Zoo,2011,124.0,"Comedy,Drama,Family",The Losers,25000000,29863840.0
sv,9.918,With Every Heartbeat,7.2,tt1859522,Kiss Me,2011,105.0,"Drama,Romance",Fighting,25000000,32831707.0
en,9.819,Black Death,5.9,tt1181791,Black Death,2010,102.0,"Action,Adventure,Drama",Don Juan DeMarco,25000000,22032635.0
en,9.805,Bridesmaids,6.5,tt1478338,Bridesmaids,2011,125.0,"Comedy,Romance",A Lot Like Love,25000000,41921590.0
en,9.709,Hanna,6.6,tt0993842,Hanna,2011,111.0,"Action,Drama,Thriller",He Got Game,25000000,22411948.0
en,9.676,The Rite,5.9,tt1161864,The Rite,2011,114.0,"Drama,Horror,Mystery",The Eagle,25000000,38993548.0
en,9.669,Paranormal Activity 3,5.9,tt1778304,Paranormal Activity 3,2011,83.0,"Horror,Mystery,Thriller",Shaun the Sheep,25000000,101925161.0
en,9.612,Attack the Block,6.4,tt1478964,Attack the Block,2011,88.0,"Action,Comedy,Sci-Fi",Shark Night 3D,25000000,18877153.0
uk,9.578,The Whistleblower,6.7,tt0896872,The Whistleblower,2010,112.0,"Action,Biography,Crime",CHiPS,25000000,23190292.0
en,9.531,The Double,5.9,tt1646980,The Double,2011,98.0,"Action,Crime,Drama",Eurotrip,25000000,20718223.0
en,9.531,The Double,5.9,tt1825157,The Double,2013,93.0,"Comedy,Drama,Mystery",Father Figures,25000000,21038441.0
en,9.162,The Double,6.6,tt1646980,The Double,2011,98.0,"Action,Crime,Drama",The Ruins,25000000,22910563.0
en,9.162,The Double,6.6,tt1825157,The Double,2013,93.0,"Comedy,Drama,Mystery",The Counselor,25000000,71009334.0
en,9.518,The Dilemma,5.3,tt1578275,The Dilemma,2011,111.0,"Comedy,Drama",Unaccompanied Minors,25000000,21970831.0
en,9.498,Margin Call,6.8,tt1615147,Margin Call,2011,107.0,"Drama,Thriller",Mary Queen of Scots,25000000,46734733.0
en,9.485,A Turtle's Tale: Sammy's Adventures,5.8,tt1230204,A Turtle's Tale: Sammy's Adventures,2010,88.0,"Adventure,Animation,Family","Bright Lights, Big City",25000000,16118077.0
en,9.477,Martha Marcy May Marlene,6.7,tt1441326,Martha Marcy May Marlene,2011,102.0,"Drama,Mystery,Thriller",Half Past Dead,25000000,19233280.0
en,9.413,Rampart,5.5,tt1640548,Rampart,2011,108.0,"Crime,Drama",Legend,25000000,23506237.0
en,9.393,Madea's Big Happy Family,6.7,tt1787759,Madea's Big Happy Family,2011,106.0,"Comedy,Drama",The Adventures of Pinocchio,25000000,36682170.0
en,9.219,The Woman,6.0,tt1714208,The Woman,2011,101.0,Horror,The Greatest Game Ever Played,25000000,15468266.0
en,9.15,The Other Woman,6.2,tt2203939,The Other Woman,2014,109.0,"Comedy,Romance",The Next Best Thing,25000000,24355762.0
no,9.137,"Turn Me On, Dammit!",6.3,tt1650407,"Turn Me On, Dammit!",2011,76.0,"Comedy,Romance",The Girl Next Door,25000000,31635150.0
en,9.104,A Lonely Place to Die,6.1,tt1422136,A Lonely Place to Die,2011,99.0,"Adventure,Crime,Thriller",Maximum Risk,25000000,51702929.0
en,9.078,Puss in Boots,6.3,tt0448694,Puss in Boots,2011,90.0,"Action,Adventure,Animation",Stealing Harvard,25000000,13973532.0
en,9.047,Dream House,6.0,tt1462041,Dream House,2011,84.0,"Drama,Mystery,Thriller",Warrior,25000000,24215385.0
en,9.015,Win Win,6.9,tt1606392,Win Win,2011,106.0,"Comedy,Drama,Sport",Angela's Ashes,25000000,13038660.0
en,9.015,Win Win,6.9,tt2877476,Win Win,2013,97.0,Comedy,Battle of the Sexes,25000000,18445379.0
en,8.99,The Caller,6.0,tt1525890,The Caller,2011,92.0,Thriller,The 33,25000000,28400715.0
en,8.987,The Iron Lady,6.4,tt1007029,The Iron Lady,2011,105.0,"Biography,Drama",The Conspirator,25000000,15907411.0
en,8.976,The Decoy Bride,6.0,tt1657299,The Decoy Bride,2011,89.0,"Comedy,Drama,Romance",The Powerpuff Girls,25000000,16425701.0
en,8.961,Diary of a Wimpy Kid: Rodrick Rules,6.4,tt1650043,Diary of a Wimpy Kid: Rodrick Rules,2011,99.0,"Comedy,Family",The Lords of Dogtown,25000000,13424365.0
en,8.882,Nine Dead,5.1,tt0959329,Nine Dead,2010,98.0,"Crime,Drama,Horror",Big Trouble in Little China,25000000,11100000.0
en,8.852,Mars Needs Moms,5.7,tt1305591,Mars Needs Moms,2011,88.0,"Adventure,Animation,Family",Michael Collins,25000000,27572844.0
en,8.844,Hobo with a Shotgun,5.9,tt1640459,Hobo with a Shotgun,2011,86.0,"Action,Comedy,Horror",Stop-Loss,25000000,11229035.0
en,8.84,A Few Best Men,5.8,tt1640711,A Few Best Men,2011,97.0,"Comedy,Romance",Gettysburg,25000000,10731997.0
no,8.836,Headhunters,7.3,tt1614989,Headhunters,2011,96.0,"Action,Crime,Thriller",Abandon,25000000,12219367.0
en,8.822000000000003,A Good Old Fashioned Orgy,5.9,tt1231586,A Good Old Fashioned Orgy,2011,95.0,"Comedy,Romance",Straw Dogs,25000000,11253821.0
en,8.821,"Jeff, Who Lives at Home",6.2,tt1588334,"Jeff, Who Lives at Home",2011,83.0,"Comedy,Drama",Brokedown Palace,25000000,11115766.0
en,8.749,Straw Dogs,5.7,tt0999913,Straw Dogs,2011,110.0,"Action,Drama,Thriller",Possession,25000000,14805812.0
en,8.744,Elephant White,5.1,tt1578882,Elephant White,2011,91.0,"Action,Crime,Fantasy",Stone Cold,25000000,9286314.0
en,8.706,The Inbetweeners Movie,6.2,tt1716772,The Inbetweeners Movie,2011,97.0,Comedy,Serenity,25000000,11367029.0
en,8.695,The Art of Getting By,6.5,tt1645080,The Art of Getting By,2011,83.0,"Drama,Romance",The Road,25000000,29206732.0
en,8.689,5 Days of War,5.7,tt1486193,5 Days of War,2011,113.0,"Action,Drama,War",Beautiful Boy,25000000,13031424.0
en,8.602,Justin Bieber: Never Say Never,5.1,tt1702443,Justin Bieber: Never Say Never,2011,105.0,"Documentary,Music",Captive State,25000000,8993300.0
en,8.523,Our Idiot Brother,6.1,tt1637706,Our Idiot Brother,2011,90.0,"Comedy,Drama",Underclassman,25000000,5654777.0
en,8.517000000000001,Texas Killing Fields,5.8,tt1389127,Texas Killing Fields,2011,105.0,"Crime,Drama,History",Say It Isn't So,25000000,5516708.0
en,8.494,The Innkeepers,5.5,tt1594562,The Innkeepers,2011,101.0,"Drama,Horror,Mystery",The World's Fastest Indian,25000000,18991288.0
en,8.477,Jumping the Broom,6.0,tt1640484,Jumping the Broom,2011,112.0,"Comedy,Drama",Deception,25000000,12850033.0
en,8.475,Grave Encounters,6.2,tt1703199,Grave Encounters,2011,92.0,Horror,Tank Girl,25000000,4064333.0
en,8.459,Soul Surfer,7.0,tt1596346,Soul Surfer,2011,112.0,"Biography,Drama,Family",King's Ransom,25000000,4049527.0
en,8.446,Game of Death,5.1,tt1446072,Game of Death,2011,98.0,"Action,Adventure,Thriller",Blindness,25000000,20052958.0
en,8.446,Game of Death,5.1,tt6302164,Game of Death,2017,73.0,"Horror,Thriller",Sgt. Stubby: An American Hero,25000000,3645957.0
en,1.348,Game of Death,5.0,tt1446072,Game of Death,2011,98.0,"Action,Adventure,Thriller",Tulip Fever,25000000,6792768.0
en,1.348,Game of Death,5.0,tt6302164,Game of Death,2017,73.0,"Horror,Thriller",BloodRayne,25000000,3711633.0
fr,8.445,Romantics Anonymous,6.4,tt1565958,Romantics Anonymous,2010,80.0,"Comedy,Romance",Bad Lieutenant: Port of Call New Orleans,25000000,12413949.0
en,8.443,The Eagle,6.1,tt1034389,The Eagle,2011,114.0,"Action,Adventure,Drama",Jane Got a Gun,25000000,3771345.0
en,8.384,Apollo 18,5.0,tt1772240,Apollo 18,2011,86.0,"Horror,Mystery,Sci-Fi",Venom,25000000,881745.0
da,8.381,In a Better World,7.3,tt1340107,In a Better World,2010,118.0,"Drama,Romance",Where the Truth Lies,25000000,1415656.0
en,8.335,Young Adult,5.7,tt1625346,Young Adult,2011,94.0,"Comedy,Drama",Without Limits,25000000,780326.0
en,8.326,Weekend,7.5,tt1714210,Weekend,2011,97.0,"Drama,Romance",On the Road,25000000,9313302.0
en,8.326,Weekend,7.5,tt1791679,Weekend,2011,121.0,"Action,Comedy,Crime",Les petits mouchoirs,25000000,48530887.0
en,8.326,Weekend,7.5,tt1910670,Weekend,2011,80.0,"Comedy,Drama",Love Ranch,25000000,146149.0
en,8.326,Weekend,7.5,tt5167782,Weekend,2012,71.0,Horror,Yi ge ren de wu lin,25000000,129115.0
en,8.292,Mr. Popper's Penguins,5.8,tt1396218,Mr. Popper's Penguins,2011,94.0,"Comedy,Family,Fantasy",Sammy's avonturen: De geheime doorgang,25000000,71594792.0
en,8.271,I Don't Know How She Does It,5.2,tt1742650,I Don't Know How She Does It,2011,89.0,"Comedy,Romance",Belka i Strelka. Zvezdnye sobaki,25000000,9445081.0
fr,8.265,The Tuche Family,6.1,tt1793931,The Tuche Family,2011,95.0,Comedy,Matilda,25000000,9370285.0
en,8.25,Sand Sharks,3.1,tt1844770,Sand Sharks,2012,86.0,"Action,Adventure,Comedy",La vÃ©ritable histoire du Chat BottÃ©,25000000,8208594.0
da,8.241,Ronal the Barbarian,6.2,tt1629374,Ronal the Barbarian,2011,89.0,"Adventure,Animation,Comedy",Ironclad,25000000,5297411.0
nb,8.221,Troll Hunter,6.7,tt1740707,Trollhunter,2010,103.0,"Drama,Fantasy,Horror",The Professor and the Madman,25000000,5227233.0
en,8.221,The Resident,5.6,tt1334102,The Resident,2011,91.0,"Drama,Horror,Mystery",Red Sky,25000000,91116.0
en,8.168,Sleeping Beauty,5.3,tt1588398,Sleeping Beauty,2011,101.0,"Drama,Romance,Thriller",Dangerous Liaisons,24200000,10447579.0
en,8.168,Sleeping Beauty,5.3,tt3334390,Sleeping Beauty,2014,88.0,"Action,Adventure,Drama",Star Trek IV: The Voyage Home,24000000,133000000.0
en,8.168,Sleeping Beauty,5.3,tt3343136,Sleeping Beauty,2014,89.0,"Adventure,Fantasy,Horror",Scream 2,24000000,172363301.0
en,4.837,Sleeping Beauty,4.2,tt1588398,Sleeping Beauty,2011,101.0,"Drama,Romance,Thriller",Rocky Balboa,24000000,156229050.0
en,4.837,Sleeping Beauty,4.2,tt3334390,Sleeping Beauty,2014,88.0,"Action,Adventure,Drama",Think Like a Man Too,24000000,70027933.0
en,4.837,Sleeping Beauty,4.2,tt3343136,Sleeping Beauty,2014,89.0,"Adventure,Fantasy,Horror",Fences,24000000,64282881.0
en,8.164,Setup,4.9,tt1748197,Setup,2011,85.0,"Action,Crime,Drama",Footloose,24000000,62989834.0
en,8.16,The Ledge,6.1,tt1535970,The Ledge,2011,101.0,"Drama,Romance,Thriller",Going in Style,24000000,78672579.0
en,8.14,Evidence,5.2,tt1640218,Evidence,2012,78.0,"Horror,Mystery,Sci-Fi",Point Break,24000000,83531958.0
en,8.14,Evidence,5.2,tt1828970,Evidence,2013,94.0,"Crime,Mystery,Thriller",The Fisher King,24000000,41798224.0
en,7.597,Evidence,5.6,tt1640218,Evidence,2012,78.0,"Horror,Mystery,Sci-Fi",I Still Know What You Did Last Summer,24000000,40020622.0
en,7.597,Evidence,5.6,tt1828970,Evidence,2013,94.0,"Crime,Mystery,Thriller",Hitman,24000000,99135571.0
en,8.134,The Roommate,5.4,tt1265990,The Roommate,2011,91.0,"Drama,Thriller","Hello, Dolly",24000000,33208099.0
en,8.131,Happy Feet Two,5.9,tt1402488,Happy Feet Two,2011,100.0,"Adventure,Animation,Comedy",Return to Me,24000000,32662299.0
en,8.113999999999999,Anonymous,6.4,tt7632298,Anonymous,2017,60.0,"Action,Comedy,Mystery",Double Take,24000000,29823162.0
en,8.106,Cat Run,5.8,tt1446147,Cat Run,2011,106.0,"Action,Comedy","Girl, Interrupted",24000000,28871190.0
en,8.06,Hellraiser: Revelations,3.1,tt1716747,Hellraiser: Revelations,2011,75.0,Horror,Nurse Betty,24000000,27732366.0
en,8.009,Honey 2,6.2,tt1657283,Honey 2,2011,110.0,"Comedy,Drama,Music",Piranha 3D,24000000,83660160.0
en,7.974,You May Not Kiss the Bride,5.9,tt1381418,You May Not Kiss the Bride,2011,99.0,"Action,Comedy,Crime",Faster,24000000,35792945.0
en,7.972,Detachment,7.5,tt1683526,Detachment,2011,98.0,Drama,The Wiz,24000000,22000000.0
es,7.9,Sleep Tight,7.0,tt1437358,Sleep Tight,2011,102.0,"Drama,Horror,Thriller",Win a Date with Tad Hamilton!,24000000,16980098.0
es,7.9,Sleep Tight,7.0,tt1437358,Sleep Tight,2011,102.0,"Drama,Horror,Thriller",Muppets From Space,24000000,16304786.0
en,7.886,Arthur,5.5,tt1334512,Arthur,2011,110.0,"Comedy,Romance",Ready to Rumble,24000000,12372410.0
en,7.879,Shark Night 3D,5.0,tt1633356,Shark Night 3D,2011,90.0,"Horror,Thriller",I Don't Know How She Does It,24000000,24474463.0
en,7.87,A Little Bit of Heaven,6.3,tt1440161,A Little Bit of Heaven,2011,106.0,"Comedy,Drama,Fantasy",Play it to the Bone,24000000,8427204.0
fr,7.858,Certified Copy,7.2,tt1020773,Certified Copy,2010,106.0,"Drama,Romance",Dhoom 3,24000000,11723620.0
en,7.856,Dirty Girl,6.3,tt1107319,Dirty Girl,2010,90.0,"Comedy,Drama",Beyond the Sea,24000000,8292914.0
en,7.816,Red State,6.1,tt0873886,Red State,2011,88.0,"Action,Crime,Horror",Meet the Deedles,24000000,4356126.0
en,7.805,Trust,6.6,tt1529572,Trust,2010,106.0,"Crime,Drama,Thriller",The Thief and the Cobbler,24000000,669276.0
en,7.805,Trust,6.6,tt5541186,Trust,2018,92.0,Drama,Flood,24000000,4084232.0
en,7.778,The Divide,5.9,tt2254110,The Divide,2015,78.0,Documentary,The Naked Gun 2Â½: The Smell of Fear,23000000,86930411.0
en,1.5519999999999998,The Divide,2.0,tt1535616,The Divide,2011,112.0,"Drama,Horror,Sci-Fi",Bad Boys,23000000,141247413.0
en,1.5519999999999998,The Divide,2.0,tt2254110,The Divide,2015,78.0,Documentary,The Wedding Ringer,23000000,80171596.0
hi,7.7360000000000015,Bodyguard,5.4,tt5460508,Bodyguard,2016,105.0,"Action,Drama,Thriller",Someone Like You,23000000,38684906.0
en,7.732,Perfect Sense,6.8,tt1439572,Perfect Sense,2011,92.0,"Drama,Romance,Sci-Fi",Her,23000000,48163815.0
en,7.7189999999999985,Vanishing on 7th Street,5.0,tt1452628,Vanishing on 7th Street,2010,92.0,"Horror,Mystery,Thriller",Joy Ride,23000000,21973182.0
en,7.709,African Cats,7.1,tt1223236,African Cats,2011,89.0,"Adventure,Documentary",Kari gurashi no Arietti,23000000,151496097.0
en,7.694,Cedar Rapids,6.0,tt1477837,Cedar Rapids,2011,87.0,Comedy,Haywire,23000000,36374700.0
fr,7.682,Polisse,7.8,tt1661420,Polisse,2011,127.0,"Crime,Drama",Anywhere But Here,23000000,18653615.0
en,7.641,From Prada to Nada,5.2,tt0893412,From Prada to Nada,2011,107.0,"Comedy,Drama,Romance",Vanity Fair,23000000,19123851.0
en,7.586,The Son of No One,5.1,tt1535612,The Son of No One,2011,90.0,"Action,Crime,Drama",Eddie the Eagle,23000000,45060480.0
en,7.584,Retreat,5.6,tt1410051,Retreat,2011,90.0,"Drama,Thriller",Jaws 4: The Revenge,23000000,15728335.0
en,7.584,Retreat,5.6,tt5582856,Retreat,2017,82.0,"Drama,Horror,Thriller",Chasing Liberty,23000000,12291975.0
en,7.58,Assassination Games,6.0,tt1436568,Assassination Games,2011,101.0,"Action,Crime,Drama",The Longshots,23000000,11778396.0
en,7.5779999999999985,Puncture,6.8,tt1582248,Puncture,2011,100.0,"Biography,Drama",The End of the Affair,23000000,10660147.0
en,7.567,Something Borrowed,6.1,tt0491152,Something Borrowed,2011,112.0,"Comedy,Drama,Romance",Harley Davidson and the Marlboro Man,23000000,7018525.0
en,7.547999999999999,Blackthorn,6.7,tt1629705,Blackthorn,2011,102.0,"Action,Adventure,Western",In the Valley of Elah,23000000,24489150.0
en,7.5470000000000015,Faces in the Crowd,5.9,tt1536410,Faces in the Crowd,2011,103.0,"Crime,Drama,Mystery",Coco avant Chanel,23000000,50813834.0
en,7.523,Henry's Crime,5.8,tt1220888,Henry's Crime,2010,108.0,"Comedy,Crime,Drama",ChÃ©ri,23000000,2715657.0
en,7.52,Mardi Gras: Spring Break,4.9,tt1083462,Mardi Gras: Spring Break,2011,88.0,Comedy,Redemption,23000000,13593473.0
en,7.518,Bernie,6.6,tt1704573,Bernie,2011,99.0,"Biography,Comedy,Crime",Rogue,23000000,4673377.0
